unique_key,created_date,closed_date,agency,complaint_type,descriptor,borough,status,incident_zip,latitude,longitude
32309556,12/31/2015 10:32:15 PM,01/01/2016 03:09:19 AM,NYPD,Illegal Parking,Posted Parking Sign Violation,BROOKLYN,Closed,11209,40.63468257788384,-74.03237225560268
32307877,12/31/2015 10:30:42 PM,01/01/2016 07:39:14 AM,NYPD,Noise - Commercial,Loud Music/Party,STATEN ISLAND,Closed,10308,40.541547488661976,-74.14666129786113
32308469,12/31/2015 10:29:33 PM,12/31/2015 11:24:03 PM,NYPD,Blocked Driveway,Partial Access,QUEENS,Closed,11364,40.74426042471261,-73.7533277011137
32305448,12/31/2015 10:28:13 PM,01/01/2016 01:38:00 AM,NYPD,Vending,In Prohibited Area,MANHATTAN,Closed,10011,40.74518302244613,-74.00823550500606
32308387,12/31/2015 10:28:10 PM,12/31/2015 10:44:47 PM,NYPD,Blocked Driveway,No Access,QUEENS,Closed,11423,40.71639116217435,-73.7603425321627
32308018,12/31/2015 10:27:16 PM,12/31/2015 11:29:23 PM,NYPD,Illegal Parking,Posted Parking Sign Violation,BROOKLYN,Closed,11230,40.632572108864125,-73.96861233483406
32305149,12/31/2015 10:26:08 PM,01/01/2016 12:49:53 AM,NYPD,Noise - Commercial,Loud Music/Party,MANHATTAN,Closed,10003,40.72873338955463,-73.98801059255561
32305549,12/31/2015 10:26:03 PM,12/31/2015 10:58:51 PM,NYPD,Blocked Driveway,No Access,BROOKLYN,Closed,11221,40.68930254993686,-73.94339499517295
32307717,12/31/2015 10:25:06 PM,01/01/2016 08:26:27 AM,NYPD,Blocked Driveway,No Access,QUEENS,Closed,11418,40.692799817796065,-73.83727272763191
32306615,12/31/2015 10:24:58 PM,12/31/2015 10:31:56 PM,NYPD,Noise - Commercial,Loud Music/Party,MANHATTAN,Closed,10017,40.752466784765815,-73.97026303855291
32307932,12/31/2015 10:21:05 PM,12/31/2015 10:25:38 PM,NYPD,Noise - Commercial,Loud Music/Party,MANHATTAN,Closed,10017,40.752466784765815,-73.97026303855291
32306624,12/31/2015 10:20:40 PM,01/01/2016 06:05:51 AM,NYPD,Illegal Parking,Blocked Sidewalk,QUEENS,Closed,11416,40.68768279671089,-73.84466627105765
32305870,12/31/2015 10:20:26 PM,01/01/2016 01:23:32 AM,NYPD,Noise - Commercial,Loud Music/Party,QUEENS,Closed,11105,40.771526986902,-73.90883204389722
32309431,12/31/2015 10:18:33 PM,12/31/2015 10:24:26 PM,NYPD,Noise - Commercial,Loud Music/Party,MANHATTAN,Closed,10017,40.752466784765815,-73.97026303855291
32309368,12/31/2015 10:17:24 PM,12/31/2015 10:59:58 PM,NYPD,Illegal Parking,Commercial Overnight Parking,QUEENS,Closed,11378,40.72684289907417,-73.89043512179377
32310638,12/31/2015 10:17:00 PM,01/01/2016 02:42:03 AM,NYPD,Blocked Driveway,No Access,BROOKLYN,Closed,11236,40.63896270383108,-73.91190289002323
32305287,12/31/2015 10:15:58 PM,12/31/2015 10:28:50 PM,NYPD,Noise - Street/Sidewalk,Loud Talking,MANHATTAN,Closed,10003,40.72656788823922,-73.98913303589015
32307657,12/31/2015 10:15:30 PM,01/01/2016 07:47:30 AM,NYPD,Blocked Driveway,No Access,BRONX,Closed,10461,40.84815006920489,-73.84980003291898
32305134,12/31/2015 10:14:32 PM,12/31/2015 10:24:27 PM,NYPD,Noise - Commercial,Loud Music/Party,MANHATTAN,Closed,10017,40.752466784765815,-73.97026303855291
32307933,12/31/2015 10:13:35 PM,12/31/2015 10:24:29 PM,NYPD,Noise - Commercial,Loud Music/Party,MANHATTAN,Closed,10017,40.752466784765815,-73.97026303855291
32308064,12/31/2015 10:11:31 PM,01/01/2016 08:28:39 AM,NYPD,Illegal Parking,Blocked Hydrant,QUEENS,Closed,11419,40.692470521681734,-73.82606592354682
32305803,12/31/2015 10:10:58 PM,12/31/2015 10:25:33 PM,NYPD,Noise - Commercial,Loud Music/Party,MANHATTAN,Closed,10017,40.752466784765815,-73.97026303855291
32309848,12/31/2015 10:07:16 PM,01/01/2016 02:42:00 AM,NYPD,Blocked Driveway,No Access,BROOKLYN,Closed,11236,40.63084914888301,-73.90178996514969
32309173,12/31/2015 10:06:44 PM,01/01/2016 03:11:36 AM,NYPD,Blocked Driveway,No Access,BROOKLYN,Closed,11218,40.63965162700586,-73.98620698718833
32309160,12/31/2015 10:05:14 PM,01/01/2016 03:01:22 AM,NYPD,Blocked Driveway,No Access,BRONX,Closed,10467,40.87334584470118,-73.87713324484885
32309640,12/31/2015 10:03:00 PM,12/31/2015 10:26:42 PM,NYPD,Noise - Street/Sidewalk,Loud Talking,BROOKLYN,Closed,11208,40.681311719589715,-73.88114658988798
32305962,12/31/2015 10:02:19 PM,12/31/2015 11:02:07 PM,NYPD,Noise - Street/Sidewalk,Loud Talking,MANHATTAN,Closed,10029,40.79539559516582,-73.94972624748836
